state	total_2015	total_2003	total_change	DAHE_2015	DAHE_2003	DAHE_change	per_2015	per_2003	per_change	pre_2015	pre_2003	pre_change
United States	868037	527112	65	3716	2902	28	17431	15422	13	21	19	13
Alabama	13179	8191	61	3605	2859	26	12603	12619	0	29	23	26
Alaska	2247	1282	75	4183	3241	29	20497	17237	19	20	19	9
Arizona	14849	6769	119	3042	1987	53	14326	10569	36	21	19	13
Arkansas	8616	4868	77	3915	2781	41	13955	12617	11	28	22	27
California	102811	50679	103	4044	2200	84	19949	12414	61	20	18	14
Colorado	12013	5815	107	3217	1973	63	15935	11415	40	20	17	17
Connecticut	12450	8403	48	4509	3886	16	21927	22574	-3	21	17	19
Delaware	3131	1621	93	4378	3360	30	20889	18643	12	21	18	16
District of Columbia	2654	1658	60	5078	4453	14	27839	29810	-7	18	15	22
Florida	53147	30674	73	3491	2822	24	15811	14209	11	22	20	11
Georgia	20298	13453	51	2788	2498	12	13543	13841	-2	21	18	14
Hawaii	3035	1349	125	2845	2252	26	17721	17296	2	16	13	23
Idaho	3543	1983	79	3048	2304	32	14059	11295	24	22	20	6
Illinois	32751	21216	54	3457	3223	7	18881	19680	-4	18	16	12
Indiana	18659	11081	68	3806	2820	35	16973	15476	10	22	18	23
Iowa	8308	5198	60	3571	2693	33	17819	15753	13	20	17	17
Kansas	6874	4484	53	3293	2634	25	15746	14852	6	21	18	18
Kentucky	13951	7713	81	4220	3233	31	15177	13362	14	28	24	15
Louisiana	13315	8738	52	3986	3355	19	16752	18559	-10	24	18	32
Maine	4490	3204	40	4309	3722	16	18219	18023	1	24	21	15
Maryland	16965	9648	76	3773	2803	35	21118	16604	27	18	17	6
Massachusetts	24841	15451	61	4800	3825	25	22017	21091	4	22	18	20
Michigan	28174	18058	56	3736	2883	30	15868	13937	14	24	21	14
Minnesota	15457	10343	49	3791	3138	21	21267	15318	39	18	20	-13
Mississippi	8695	6025	44	4044	3451	17	15483	15328	0	26	23	16
Missouri	17830	11796	51	3887	3176	22	15359	14746	4	25	22	18
Montana	2581	1442	79	3283	2493	32	13638	12136	12	24	21	17
Nebraska	4628	3101	49	3387	2835	19	17500	16025	9	19	18	9
Nevada	5995	2775	116	2855	1946	47	14225	10381	37	20	19	7
New Hampshire	3740	2193	71	3620	2646	37	17463	14344	22	21	18	12
New Jersey	24784	16477	50	3738	3127	20	21415	19200	12	17	16	7
New Mexico	5070	2865	77	3371	2433	39	14518	12249	19	23	20	17
New York	71811	53166	35	4786	4416	8	23101	24747	-7	21	18	16
North Carolina	25033	14863	68	3393	2908	17	15230	16185	-6	22	18	24
North Dakota	2043	1152	77	3635	2755	32	20352	17132	19	18	16	11
Ohio	35021	25110	39	3980	3431	16	17732	17528	1	22	20	15
Oklahoma	10529	6230	69	3724	2800	33	13946	12207	14	27	23	16
Oregon	11900	5670	110	3989	2429	64	16127	10424	55	25	23	6
Pennsylvania	41527	27192	53	4207	3371	25	19241	17799	8	22	19	15
Rhode Island	3670	2368	55	4454	3473	28	20174	19677	3	22	18	25
South Carolina	12237	7335	67	3349	2807	19	13807	15010	-8	24	19	30
South Dakota	2201	1346	63	3458	2711	28	16489	14196	16	21	19	10
Tennessee	17509	11675	50	3653	3334	10	13925	17496	-20	26	19	38
Texas	56664	31883	78	2972	2400	24	17189	13553	27	17	18	-2
Utah	4833	2658	82	2562	1913	34	14112	10430	35	18	18	-1
Vermont	2197	1248	76	4449	3036	47	20096	15715	28	22	19	15
Virginia	18359	10571	74	2928	2271	29	15766	12595	25	19	18	3
Washington	19524	10719	82	3671	2712	35	15068	11766	28	24	23	6
West Virginia	6665	4306	55	4555	3536	29	15494	13211	17	29	27	10
Wisconsin	15843	10272	54	3728	2882	29	18320	16041	14	20	18	13
Wyoming	1387	793	75	3158	2398	32	14821	12726	16	21	19	13